source_term,target_term,domain,definition,status
neokapi,neokapi,product,"Project and Go framework name. Never translate; always lowercase.",preferred
kapi,kapi,product,"The standalone CLI. Never translate; always lowercase.",preferred
kapi-desktop,kapi-desktop,product,"The desktop GUI companion. Never translate; always lowercase and hyphenated.",preferred
Bowrain,Bowrain,product,"The full-stack platform. Never translate; capitalized product name.",preferred
sievepen,sievepen,product,"The built-in translation memory library. Never translate.",preferred
KLF,KLF,product,"Kapi Localization Format. Never translate the acronym.",preferred
flow,flyt,localization,"A composed chain of tools (Okapi: pipeline). UI and docs noun.",preferred
tool,verktøy,localization,"A processing step in a flow (Okapi: step).",preferred
format,format,localization,"A data format with reader/writer support (Okapi: filter).",preferred
recipe,oppskrift,localization,"The .kapi project file.",preferred
project,prosjekt,localization,A kapi project rooted at a .kapi recipe.,preferred
block,blokk,localization,"The translatable content unit in the content model (Okapi: text unit).",preferred
overlay,overlegg,localization,"Stand-off annotation layer on a block (segmentation, terms, QA).",preferred
translation memory,oversettelsesminne,localization,"TM; the sievepen-backed store of source/target pairs.",preferred
termbase,termbase,localization,"Terminology database. Established loan word in Norwegian localization practice; do not translate.",preferred
term,term,localization,A termbase entry for a concept in one locale.,preferred
glossary,ordliste,localization,Simple source-to-target term mapping fed to ai-translate.,preferred
source language,kildespråk,localization,,preferred
target language,målspråk,localization,,preferred
source text,kildetekst,localization,,preferred
target text,måltekst,localization,,preferred
extraction,uttrekk,localization,"Reading a file extracts its text into blocks. Noun form.",preferred
extract,trekk ut,localization,"Verb: extract the text. Not 'ekstraher'.",preferred
merge,flett,localization,"Verb: write translated blocks back into the original format. Noun: fletting.",preferred
segmentation,segmentering,localization,"Opt-in sentence-level overlay within a block — not what produces blocks.",preferred
translate,oversett,localization,,preferred
pseudo-translate,pseudooversett,localization,Deterministic test localization with accents and expansion padding.,preferred
pre-translate,forhåndsoversett,localization,Filling targets from TM before human or AI translation.,preferred
brand voice,merkevarestemme,localization,The VoiceProfile bound to a project.,preferred
quality check,kvalitetskontroll,localization,QA tools run over translated content.,preferred
word count,ordtelling,localization,,preferred
plugin,tillegg,ui,"Subprocess-dispatched vendor plugin (kapi-bowrain, okapi-bridge).",preferred
extension,utvidelse,ui,The recipe schema extension mechanism.,preferred
preset,forhåndsinnstilling,ui,Saved per-framework or per-format configuration.,preferred
credentials,legitimasjon,ui,API keys and tokens in the OS keychain.,preferred
settings,innstillinger,ui,,preferred
locale,språkkode,localization,"BCP-47 identifier such as nb or pt-BR.",preferred
pipeline,pipeline,localization,"The streaming channel-based execution model. Keep the English term in nb.",preferred
leverage,gjenbruk,localization,"Reusing TM matches; TM Leverage → TM-gjenbruk.",preferred
fuzzy match,fuzzy-treff,localization,,preferred
exact match,eksakt treff,localization,,preferred
threshold,terskel,localization,,preferred
placeholder,plassholder,localization,,preferred
provider,leverandør,localization,"AI/MT backend (Anthropic, DeepL, ...).",preferred
inline code,inline-kode,localization,Inline markup runs within a block.,preferred
whitespace,blanktegn,localization,,preferred
subfilter,underfilter,localization,,preferred
redact,sladde,localization,"Verb; the tools are Sladding (redact) and Avsladding (unredact).",preferred
redaction,sladding,localization,,preferred
caption,undertekst,ui,,preferred
check,kontroll,localization,"Noun; verb: kontrollere. A content check run over a file.",preferred
case-sensitive,versalfølsom,localization,,preferred
engine,motor,product,,preferred
roundtrip,rundtur,localization,Read → write → compare validation.,preferred
hyperlink,hyperkobling,ui,Microsoft terminology.,preferred
slide master,lysbildemal,ui,Microsoft terminology.,preferred
speaker notes,foredragsholdernotater,ui,Microsoft terminology.,preferred
